7356 12
7457 11
7557 12
7657 12
7757 12
7857 10
7957 11
8057 10
8158 10
8258 10
8358 7
8458 5
8558 5
8658 5
8758 3
8859 2
8959 2
9059 1
9159 2
9259 2
9359 1
9459 2
9560 2
9660 2
9760 2
9860 2
9960 4
10060 4
10160 3
10261 3
10361 5
10461 6
10561 6
10661 4
10761 5
10861 6
10962 8
11062 7
11162 7
11262 9
11362 11
11462 13
11562 12
11663 13
11763 11
11863 10
11963 12
12063 11
12163 9
12263 8
12364 9
12464 8
12564 8
12664 7
12764 5
12864 5
12964 5
13065 4
13165 3
13265 3
13365 3
13465 2
13565 1
13665 1
13765 1
13866 1
13966 0
14066 0
14166 0
14266 0
14366 2
14466 2
14567 3
14667 3
14767 5
14867 7
14967 9
15067 10
15167 11
15268 12
15368 13
15468 14
15568 12
15668 12
15768 14
15868 11
15969 11
16069 12
16169 13
16269 11
16369 12
16469 8
16570 8
16670 8
16770 8
16870 4
16970 3
17070 2
17170 3
17271 3
17371 3
17471 2
17571 5
17671 5
17771 5
17871 3
17971 4
18072 4
18172 4
18272 2
18372 3
18472 3
18572 4
18673 3
18773 3
18873 3
18973 5
19073 3
19173 4
19273 4
19374 5
19474 7
19574 8
19674 8
19774 10
19874 10
19975 9
20075 12
20175 12
20275 10
20375 11
20475 9
20575 10
20676 10
20776 10
20876 8
20976 6
21076 6
21176 7
21276 5
21377 5
21477 7
21577 7
21677 7
21777 7
21877 6
21977 8
22078 8
22178 8
22278 6
22378 6
22478 6
22578 6
22678 2
22779 4
22879 4
22979 3
23079 3
23179 3
23279 3
23379 3
23480 1
23580 4
23680 4
23780 4
23880 6
23980 8
24080 8
24181 11
24281 9
24381 11
24481 13
24581 12
24681 10
24781 11
24881 11
24982 10
25082 9
25182 9
25282 8
25382 7
25482 7
25582 8
25683 7
25783 6
25883 5
25983 8
26083 8
26183 7
26283 7
26384 4
26484 5
26584 5
26684 5
26784 1
26884 2
26984 2
27085 2
27185 1
27285 1
27385 1
27485 1
27585 1
27685 1
27786 1
27886 2
27986 5
28086 5
28186 8
28286 10
28386 12
28487 13
28587 12
28687 12
28787 11
28887 12
28987 11
29088 9
29188 9
29288 10
29388 9
29488 10
29588 10
29688 10
29789 9
29889 9
29989 8
30089 10
30189 9
30289 7
30389 7
30490 6
30590 4
30690 4
30790 2
30890 1
30990 1
31090 1
31191 0
31291 0
31391 0
31491 0
31591 0
31691 0
31791 0
31891 1
31992 1
32092 2
32192 4
32292 5
32392 7
32492 9
32593 11
32693 11
32793 11
32893 11
32993 10
33093 11
33193 8
33294 8
33394 8
33494 9
33594 10
33694 10
